brand,category,description,details,finition,image_urls,sku,stock,title,type,url,variure
HERACLES,,"
",{'Nombre de points de fermeture:': '3'},,"https://res.cloudinary.com/afdb/image/upload/s--1Ne84hOp--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_35547__.jpeg",607345,Aucun magasin sélectionné,Serrure 3 points à rouleau TF 760 coffre 35 mm axe 24 mm + têtière haut et bas à pêne basculant HERACLES WSS012792400426,,https://www.afdb.fr/heracles-serrure-securite-3-points-tf-760-heracles_SKUM40654.html,
GARIS,,"
",{'Matière de la barre:': 'Inox 304'},,"https://res.cloudinary.com/afdb/image/upload/s--lCoP6nhR--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_265487_.jpeg",021244,Aucun magasin sélectionné,Barre d'appui en acier inoxydable recouvert d'epoxy droite 300 mm GARIS B-INOX-BR20,,https://www.afdb.fr/garis-barre-relevement-garis-epoxy-blanc-d32-pmr_SKUM213853.html,
HERACLES,,"
",{'Dimension:': '145 x 24 x 3 mm'},,"https://res.cloudinary.com/afdb/image/upload/s--NhamYt4_--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_35985__.jpeg",607354,Aucun magasin sélectionné,Gâche 24 x 3 mm pour pêne crochet haut et bas HERACLES WSS017432400426,,https://www.afdb.fr/heracles-gache-tf-750-tf-760-heracles_SKUM40209.html,
Stremler ASSA ABLOY,,"
","{'Nombre de points de fermeture:': '3', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--OzvrrS34--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_15320__.jpeg",020069,Aucun magasin sélectionné,Serrure 3 points TF3 pêne dormant Série 6372,,https://www.afdb.fr/stremler-assa-abloy-serrure-3-points-tf3-pene-dormant-serie-6372_SKUM41378.html,
HERACLES,,"
",{'Nombre de points de fermeture:': '3'},,"https://res.cloudinary.com/afdb/image/upload/s--MshdtVaB--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_35548__.jpeg",607341,Aucun magasin sélectionné,Serrure 3 points TF 750 coffre 35 mm axe 24 mm + têtière haut et bas à pêne basculant HERACLES WSS012522400426,,https://www.afdb.fr/heracles-serrure-securite-3-points-tf-750-heracles_SKUM40208.html,
Stremler ASSA ABLOY,,"
","{'Tétière:': '30 x 2,5 mm', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--1GxWp_v0--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_15382__.jpeg",390052,Aucun magasin sélectionné,Serrure à larder 3 points TF pour profil acier pêne dormant demi-tour Série 6270 axe 21 mm hauteur 1700 mm STREMLER 6270.36.0,,https://www.afdb.fr/stremler-assa-abloy-serrure-larder-tf-stremler-3-points-profil-acier-pene-dormant-demi-tour-serie-6270_SKUM8083.html,
METALUX,,"
",{'Modèle:': 'Pêne dormant'},,"https://res.cloudinary.com/afdb/image/upload/s--43lUiPp3--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_255696_.jpeg",041370,Aucun magasin sélectionné,Coffre 92MTX à 3 points U9 coffre 41 mm sans gâche METALUX F1U9410200,,https://www.afdb.fr/metalux-serrure-metalux-3-points-u9-pene-dormant-seul-92mtx-f1u9_SKUM32614.html,
Stremler ASSA ABLOY,,"
","{'Tétière:': 'Têtière filante en U de 24 x  6 mm', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s---GNFnRKp--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_256990_.jpeg",617455,Aucun magasin sélectionné,Serrure à 3 points TF3 relevage pêne dormant longueur 36 mm STREMLER 6570.36.0C,,https://www.afdb.fr/stremler-assa-abloy-serrure-tf3-stremler-3-points-relevage-pene-dormant-serie-6570_SKUM44201.html,
JARDINIER MASSARD,,"
","{'Modèle:': 'Orné - Evidé', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--8pdhmVzJ--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_34162__.jpeg",005943,Aucun magasin sélectionné,Bouton double C6 orné en fonte peint appret gris JARDINIER MASSARD J502182,,https://www.afdb.fr/jardinier-massard-bouton-double-jardinier-massard-fonte_SKUM5754.html,
Stremler ASSA ABLOY,,"
","{'Tétière:': 'Têtière en U de 24 x 6 mm', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--GCXUI_nP--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_252469_.jpeg",219673,Aucun magasin sélectionné,Serrure 3 points TF3 à pêne crochet et pêne dormant de coffre 41 mm têtières en U 24 x 6 mm STREMLER 6470.41.0B,,https://www.afdb.fr/stremler-assa-abloy-serrure-3-points-tf3-stremler-pene-dormant-basculants-crochets-demi-tour-tetieres-u-serie-6470_SKUM8106.html,
