brand,category,description,details,finition,image_urls,sku,stock,title,type,url,variure
IBFM,,"
","{'Nombre de clés:': '2', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--O7yHX8d6--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_251505_.jpeg",765736,Aucun magasin sélectionné,Sabot boule s'entrouvrant IBFM 2218 KA2,,https://www.afdb.fr/ibfm-sabot-boule-ibfm-2218-k_SKUM127170.html,
COMUNELLO,,"
","{'Roues pivotantes:': 'Non', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--f5gUiXDC--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_256548_.jpeg",384412,Indisponible,Roue à support externe GV 80 COMUNELLO 325V-80,,https://www.afdb.fr/comunello-roue-support-comunello-externe-gv-80-325v-80_SKUM95310.html,
IBFM,,"
","{'Modèle:': 'Gâche', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--OpwzCDE4--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_288492_.jpeg",614416,Aucun magasin sélectionné,Gâche pour serrure à crochet IBFM 447A,,https://www.afdb.fr/ibfm-serrure-portail-coulissant-ibfm-crochet_SKUM221490.html,
IBFM,,"
","{'Article:': 'N°29', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--1ZwU7RCv--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_263195_.jpeg",043073,Aucun magasin sélectionné,Paire charnière double action N29 10 kg hauteur 75 mm argenté IBFM 106029A,,https://www.afdb.fr/ibfm-charniere-ibfm-double-action-argente-1060_SKUM5916.html,
IBFM,,"
",{'Modèle:': 'Numéro 1'},,"https://res.cloudinary.com/afdb/image/upload/s--PSi1xMD_--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_247975_.jpeg",394264,Aucun magasin sélectionné,Ferme-porte à tige n° 1 max 25 kg IBFM 91001,,https://www.afdb.fr/ibfm-ferme-porte-ibfm-tige-bras-central-pliable-9100_SKUM30876.html,
IBFM,,"
","{'Article:': 'N9', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--r95-Y0DZ--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_263175_.jpeg",043070,Aucun magasin sélectionné,Paire charnière simple action N9 40 kg hauteur 150 mm argent IBFM 101036BA,,https://www.afdb.fr/ibfm-paire-charniere-ibfm-simple-action-argent_SKUM5915.html,
IBFM,,"
","{'Finition:': 'Laqué noir', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--S5w5IyZw--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_263207_.jpeg",614421,Aucun magasin sélectionné,Poignée droite 180 mm pour porte coulissant IBFM 482180,,https://www.afdb.fr/ibfm-poignee-portail-ibfm-applique-portail-coulissant_SKUM5739.html,
DINAC,,"
","{'Type de pose:': 'A coller', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--n1nzWXwO--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_124954_.jpeg",793304,Aucun magasin sélectionné,"Seuil adhésif multi niveaux 40 mm finition inox brillant 0,93 ml DINAC 0081020 00",,https://www.afdb.fr/dinac-seuil-adhesif-dinac-multi-niveaux_SKUM25880.html,
DINAC,,"
","{'Modèle:': '6VA', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--vKO_qgcy--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_246387_.jpeg",793318,Aucun magasin sélectionné,Nez de marche strié métal 6VA adhésif aluminium 3 m noir DINAC 222303D,,https://www.afdb.fr/dinac-nez-marche-strie-dinac_SKUM46594.html,
DINAC,,"
","{'Modèle:': 'Fourni sans bande', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--2AE-4klq--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_245946_.jpeg",793326,Aucun magasin sélectionné,Nez de marche EVOLUTIFS 2CBIS 3 m DINAC 2687110,,https://www.afdb.fr/dinac-nez-marche-evolutifs-dinac_SKUM155631.html,
TORBEL,,"
","{'Type:': 'Contre penture', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--gQEeJJ8U--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_34014__.jpeg",589593,Aucun magasin sélectionné,Contre penture aluminium noir longueur 370 mm TORBEL 11PAC3J,,https://www.afdb.fr/torbel-penture-torbel-aluminium_SKUM5617.html,
HERCULE,,"
",{'Article:': 'Support à charnière'},,"https://res.cloudinary.com/afdb/image/upload/s--3vhDb5vh--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_247021_.jpeg",213826,Aucun magasin sélectionné,Support de barre à charnière droite passage 12 mm - HERCULE - 4234,,https://www.afdb.fr/hercule-supports-barre-charniere-hercule_SKUM5784.html,
IBFM,,"
","{'Finition:': 'Noir', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--V4Nhp8qN--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_262480_.jpeg",209495,Aucun magasin sélectionné,Béquille double pour porte métallique 35 - 50 mm carré 8 mm noire IBFM 435035,,https://www.afdb.fr/ibfm-bequille-double-ibfm-portes-metalliques-carre-8-mm-4350_SKUM71819.html,
GROOM,,"
","{'Article:': 'N°0', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--1tFtt06d--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_122823_.jpeg",035227,Aucun magasin sélectionné,Paire charnière simple action Liobex compact N0 acier argent GROOM GR103101,,https://www.afdb.fr/groom-charniere-groom-simple-action-liobex-gr10_SKUM8764.html,
MAP,,"
",{'Article:': 'Verrou à encastrer'},,"https://res.cloudinary.com/afdb/image/upload/s--F-J2pXnH--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_263595_.jpeg",390051,Aucun magasin sélectionné,Verrou à encastrer en 110 mm MAP MAP-120110,,https://www.afdb.fr/map-verrou-encastrer-map_SKUM9056.html,
VIRO,,"
",{'Modèle:': 'N° 4201'},,"https://res.cloudinary.com/afdb/image/upload/s--TGdP40e3--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_26896__.jpeg",208791,Aucun magasin sélectionné,Serrure blindée de rideau métallique à cylindre rond dimension 190 x 80 mm acier zingué VIRO VIR4201,,https://www.afdb.fr/viro-serrure-blindee-rideau-metallique-viro-cylindre-rond-dimension-190x80-mm-acier-zingue-vir4201_SKUM9650.html,
MOTTURA,,"
",{'Modèle:': 'Sorties de tringle plates'},,"https://res.cloudinary.com/afdb/image/upload/s--yQloZ2dK--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_12490__.jpeg",053006,Aucun magasin sélectionné,Serrure de rideau métallique centrale sorties de tringle plates à double panneton zingué MOTTURA 45850,,https://www.afdb.fr/mottura-serrure-rideau-metallique-mottura-double-panneton_SKUM6980.html,
MANTION,,"
","{'Finition:': 'Embouti', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--DqZdOUFS--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_265698_.jpeg",371410,Aucun magasin sélectionné,Poignée tôle emboutie MANTION 1298,,https://www.afdb.fr/mantion-poignee-portail-mantion_SKUM5868.html,
MANTION,,"
","{'Finition:': 'Inox', 'Fiche technique fournisseur': '\n'}",,"https://res.cloudinary.com/afdb/image/upload/s--qdRKST9Z--/c_pad,dpr_auto,f_auto,h_500,w_500/v1/afdb-fr/AFD_40275__.jpeg",371408,Aucun magasin sélectionné,Poignée emboutie GM inox MANTION 1290X,,https://www.afdb.fr/mantion-poignee-emboutie-mantion-gm-inox-1290x_SKUM39288.html,
